date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles,index
2020-09-30T00:00:00.000,Montgomery,TX,Passenger,1,0,1,47,48,2.083333333,876
2020-09-30T00:00:00.000,New London,CT,Passenger,1,2,3,246,249,1.204819277,877
2020-09-30T00:00:00.000,Nueces,TX,Passenger,1,0,1,83,84,1.19047619,878
2020-07-31T00:00:00.000,Douglas,NE,Passenger,0,1,1,52,53,1.886792453,879
2020-07-31T00:00:00.000,Fairbanks North Star,AK,Passenger,0,1,1,99,100,1,880
2020-07-31T00:00:00.000,Fulton,GA,Passenger,1,2,3,98,101,2.97029703,881
2020-07-31T00:00:00.000,Grant,WA,Passenger,61,75,136,65289,65425,0.207871609,882
2020-07-31T00:00:00.000,Grays Harbor,WA,Passenger,109,112,221,48285,48506,0.455613739,883
2020-07-31T00:00:00.000,Island,WA,Truck,1,0,1,21239,21240,0.004708098,884
2020-07-31T00:00:00.000,Jefferson,NY,Passenger,0,1,1,209,210,0.476190476,885
2020-09-30T00:00:00.000,Nassau,FL,Passenger,1,0,1,34,35,2.857142857,886
2020-09-30T00:00:00.000,Oldham,KY,Passenger,0,1,1,4,5,20,887
2020-09-30T00:00:00.000,Orange,CA,Passenger,5,3,8,466,474,1.687763713,888
2020-09-30T00:00:00.000,Pima,AZ,Passenger,3,1,4,331,335,1.194029851,889
2020-09-30T00:00:00.000,Polk,FL,Passenger,1,0,1,61,62,1.612903226,890
2020-09-30T00:00:00.000,Riverside,CA,Passenger,3,0,3,607,610,0.491803279,891
2020-09-30T00:00:00.000,Sacramento,CA,Passenger,1,0,1,249,250,0.4,892
2020-09-30T00:00:00.000,San Mateo,CA,Passenger,0,1,1,103,104,0.961538462,893
2020-09-30T00:00:00.000,Sarasota,FL,Passenger,2,0,2,24,26,7.692307692,894
2020-09-30T00:00:00.000,Shelby,OH,Passenger,0,1,1,1,2,50,895
2020-11-30T00:00:00.000,Larimer,CO,Passenger,1,0,1,53,54,1.851851852,896
2020-11-30T00:00:00.000,Maui,HI,Passenger,1,0,1,28,29,3.448275862,897
2020-11-30T00:00:00.000,Missoula,MT,Passenger,1,0,1,59,60,1.666666667,898
2020-11-30T00:00:00.000,Oldham,KY,Passenger,0,1,1,4,5,20,899
2020-08-31T00:00:00.000,Richland,SC,Passenger,0,1,1,153,154,0.649350649,900
2020-08-31T00:00:00.000,Salt Lake,UT,Passenger,0,2,2,178,180,1.111111111,901
2020-08-31T00:00:00.000,Skamania,WA,Passenger,31,21,52,8378,8430,0.616844603,902
2020-08-31T00:00:00.000,Solano,CA,Passenger,1,0,1,213,214,0.46728972,903
2020-08-31T00:00:00.000,Tulsa,OK,Passenger,1,1,2,41,43,4.651162791,904
2020-07-31T00:00:00.000,Ada,ID,Passenger,0,1,1,256,257,0.389105058,905
2020-07-31T00:00:00.000,Bartow,GA,Passenger,0,1,1,2,3,33.33333333,906
2020-07-31T00:00:00.000,Bexar,TX,Passenger,4,5,9,591,600,1.5,907
2020-07-31T00:00:00.000,Chesapeake,VA,Passenger,0,2,2,419,421,0.475059382,908
2020-09-30T00:00:00.000,Jefferson,WA,Truck,0,0,0,9544,9544,0,909
2020-09-30T00:00:00.000,Klamath,OR,Passenger,1,0,1,29,30,3.333333333,910
2020-09-30T00:00:00.000,Lewis,WA,Truck,0,0,0,26450,26450,0,911
2020-09-30T00:00:00.000,Los Angeles,CA,Passenger,9,11,20,974,994,2.012072435,912
2020-09-30T00:00:00.000,Maricopa,AZ,Passenger,5,7,12,1312,1324,0.906344411,913
2020-09-30T00:00:00.000,Mason,WA,Passenger,162,131,293,47471,47764,0.613432711,914
2020-07-31T00:00:00.000,Skagit,WA,Passenger,423,223,646,91318,91964,0.702448784,915
2020-07-31T00:00:00.000,Skamania,WA,Truck,0,0,0,4032,4032,0,916
2020-07-31T00:00:00.000,St. Mary's,MD,Passenger,1,0,1,214,215,0.465116279,917
2020-07-31T00:00:00.000,Valencia,NM,Passenger,1,0,1,6,7,14.28571429,918
2020-07-31T00:00:00.000,Washington,OR,Passenger,1,0,1,419,420,0.238095238,919
2020-07-31T00:00:00.000,Yakima,WA,Passenger,139,119,258,165795,166053,0.15537208,920
2020-08-31T00:00:00.000,,,Passenger,5,1,6,347,353,1.699716714,921
2020-07-31T00:00:00.000,DeKalb,GA,Passenger,1,0,1,74,75,1.333333333,922
2020-07-31T00:00:00.000,Ferry,WA,Passenger,7,3,10,4330,4340,0.230414747,923
2020-07-31T00:00:00.000,Garfield,WA,Truck,0,0,0,988,988,0,924
2020-07-31T00:00:00.000,Guadalupe,TX,Passenger,1,0,1,59,60,1.666666667,925
2020-07-31T00:00:00.000,Hennepin,MN,Passenger,3,0,3,87,90,3.333333333,926
2020-07-31T00:00:00.000,Houston,GA,Passenger,1,0,1,53,54,1.851851852,927
2020-08-31T00:00:00.000,Whatcom,WA,Passenger,1112,513,1625,149230,150855,1.077193331,928
2020-09-30T00:00:00.000,Alexandria,VA,Passenger,2,0,2,135,137,1.459854015,929
2020-09-30T00:00:00.000,Chelan,WA,Truck,0,0,0,22728,22728,0,930
2020-09-30T00:00:00.000,Richland,SC,Passenger,0,1,1,150,151,0.662251656,931
2020-09-30T00:00:00.000,Saginaw,MI,Passenger,1,0,1,9,10,10,932
2020-09-30T00:00:00.000,Salt Lake,UT,Passenger,0,2,2,171,173,1.156069364,933
2020-09-30T00:00:00.000,San Juan,WA,Truck,0,0,0,5846,5846,0,934
2020-09-30T00:00:00.000,Snohomish,WA,Passenger,4695,1810,6505,537268,543773,1.196271238,935
2020-09-30T00:00:00.000,Tulsa,OK,Passenger,1,1,2,39,41,4.87804878,936
