date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-07-31T00:00:00.000,Sarasota,FL,Passenger,2,0,2,25,27,7.4074074074074066
2020-07-31T00:00:00.000,Stevens,WA,Passenger,37,35,72,30629,30701,0.2345200482068987
2020-07-31T00:00:00.000,Stevens,WA,Truck,0,0,0,18672,18672,0.0
2020-07-31T00:00:00.000,Twin Falls,ID,Passenger,0,1,1,20,21,4.761904761904762
2020-07-31T00:00:00.000,Vigo,IN,Passenger,1,0,1,5,6,16.666666666666664
2020-07-31T00:00:00.000,Wahkiakum,WA,Truck,0,0,0,1742,1742,0.0
2020-07-31T00:00:00.000,Washoe,NV,Passenger,1,0,1,97,98,1.020408163265306
2020-06-30T00:00:00.000,New Haven,CT,Passenger,0,2,2,38,40,5.0
2020-06-30T00:00:00.000,Pend Oreille,WA,Passenger,7,6,13,9243,9256,0.1404494382022471
2020-06-30T00:00:00.000,Pend Oreille,WA,Truck,0,0,0,5763,5763,0.0
2020-06-30T00:00:00.000,Placer,CA,Passenger,1,0,1,85,86,1.1627906976744187
2020-06-30T00:00:00.000,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.0
2020-06-30T00:00:00.000,Ramsey,MN,Passenger,1,0,1,41,42,2.380952380952381
2020-06-30T00:00:00.000,San Diego,CA,Passenger,15,6,21,2792,2813,0.7465339495200853
2020-05-31T00:00:00.000,Stafford,VA,Passenger,1,1,2,89,91,2.1978021978021975
2020-05-31T00:00:00.000,Suffolk,MA,Passenger,0,2,2,35,37,5.405405405405404
2020-05-31T00:00:00.000,Valencia,NM,Passenger,1,0,1,5,6,16.666666666666664
2020-06-30T00:00:00.000,Ada,ID,Passenger,0,1,1,264,265,0.3773584905660377
2020-06-30T00:00:00.000,Arlington,VA,Passenger,0,2,2,147,149,1.3422818791946307
2020-06-30T00:00:00.000,Bartow,GA,Passenger,0,1,1,2,3,33.33333333333333
2020-06-30T00:00:00.000,Goochland,VA,Passenger,2,1,3,245,248,1.2096774193548387
2020-06-30T00:00:00.000,Greene,MO,Passenger,0,1,1,31,32,3.125
2020-06-30T00:00:00.000,Hamilton,IN,Passenger,1,0,1,40,41,2.4390243902439024
2020-06-30T00:00:00.000,Harris,TX,Passenger,1,0,1,225,226,0.4424778761061946
2020-06-30T00:00:00.000,Honolulu,HI,Passenger,4,1,5,443,448,1.1160714285714284
2020-06-30T00:00:00.000,Island,WA,Passenger,419,268,687,62816,63503,1.0818386532919704
2020-06-30T00:00:00.000,Jefferson,WA,Truck,0,0,0,9535,9535,0.0
2020-08-31T00:00:00.000,Ada,ID,Passenger,0,1,1,251,252,0.3968253968253968
2020-08-31T00:00:00.000,Bell,TX,Passenger,0,1,1,415,416,0.2403846153846153
2020-08-31T00:00:00.000,Boone,MO,Passenger,0,1,1,11,12,8.333333333333332
2020-08-31T00:00:00.000,Calvert,MD,Passenger,0,2,2,86,88,2.272727272727273
2020-08-31T00:00:00.000,Camden,NJ,Passenger,0,1,1,22,23,4.3478260869565215
2020-08-31T00:00:00.000,Clackamas,OR,Passenger,2,0,2,182,184,1.0869565217391304
2020-05-31T00:00:00.000,DeKalb,GA,Passenger,1,0,1,77,78,1.282051282051282
2020-05-31T00:00:00.000,Douglas,WA,Passenger,69,40,109,27970,28079,0.3881904626233127
2020-05-31T00:00:00.000,Frederick,MD,Passenger,1,1,2,77,79,2.531645569620253
2020-05-31T00:00:00.000,Grant,WA,Passenger,59,70,129,65212,65341,0.1974258122771307
2020-05-31T00:00:00.000,Grays Harbor,WA,Truck,0,0,0,20769,20769,0.0
2020-05-31T00:00:00.000,Houston,GA,Passenger,1,0,1,53,54,1.851851851851852
2020-04-30T00:00:00.000,Juneau,AK,Passenger,0,2,2,31,33,6.0606060606060606
2020-04-30T00:00:00.000,Kent,MI,Passenger,0,1,1,23,24,4.166666666666666
2020-04-30T00:00:00.000,Kitsap,WA,Truck,1,0,1,53924,53925,0.0018544274455261
2020-04-30T00:00:00.000,Lewis,WA,Passenger,99,106,205,58657,58862,0.3482722299616051
2020-04-30T00:00:00.000,Montgomery,PA,Passenger,1,0,1,31,32,3.125
2020-04-30T00:00:00.000,New London,CT,Passenger,1,2,3,253,256,1.171875
2020-04-30T00:00:00.000,Orange,CA,Passenger,7,2,9,496,505,1.782178217821782
2020-04-30T00:00:00.000,Riverside,CA,Passenger,3,1,4,630,634,0.6309148264984227
2020-04-30T00:00:00.000,Sacramento,CA,Passenger,1,0,1,264,265,0.3773584905660377
2020-04-30T00:00:00.000,San Juan,WA,Passenger,295,88,383,14157,14540,2.6341127922971115
2020-04-30T00:00:00.000,Santa Clara,CA,Passenger,6,2,8,315,323,2.4767801857585137
2020-03-31T00:00:00.000,Pend Oreille,WA,Truck,0,0,0,5759,5759,0.0
2020-03-31T00:00:00.000,Placer,CA,Passenger,1,0,1,89,90,1.1111111111111112
2020-03-31T00:00:00.000,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.0
